Wanderungstyp,Jahr,Monat,Staatsangehoerigkeit,Geschlecht,Alter,VonKontinent,VonLand,VonKanton,VonWohnviertel,NachKontinent,NachLand,NachKanton,NachWohnviertel,year_month
Wegzug,2017,2,Ausländer,M,0,Schweiz,Schweiz,BS,Gundeldingen,Europa (ohne Schweiz),Frankreich,Ausland,NA,2017-2
Zuzug,2017,2,Ausländer,M,1,Schweiz,Schweiz,BE,NA,Schweiz,Schweiz,BS,Gundeldingen,2017-2
Wegzug,2017,2,Ausländer,M,1,Schweiz,Schweiz,BS,Gundeldingen,Asien,Indien,Ausland,NA,2017-2
Wegzug,2017,2,Ausländer,M,1,Schweiz,Schweiz,BS,St. Johann,Nordamerika,Vereinigte Staaten von Amerika,Ausland,NA,2017-2
Wegzug,2017,2,Ausländer,M,1,Schweiz,Schweiz,BS,Wettstein,Europa (ohne Schweiz),Deutschland,Ausland,NA,2017-2
Wegzug,2017,2,Ausländer,M,1,Schweiz,Schweiz,BS,Iselin,Europa (ohne Schweiz),Oesterreich,Ausland,NA,2017-2
Wegzug,2017,2,Schweizer,W,1,Schweiz,Schweiz,BS,Am Ring,Schweiz,Schweiz,ZH,NA,2017-2
Wegzug,2017,2,Schweizer,W,1,Schweiz,Schweiz,BS,Wettstein,Schweiz,Schweiz,BL,NA,2017-2
Wegzug,2017,2,Schweizer,M,1,Schweiz,Schweiz,BS,Breite,Schweiz,Schweiz,BL,NA,2017-2
Wegzug,2017,2,Schweizer,M,1,Schweiz,Schweiz,BS,St. Alban,Schweiz,Schweiz,BL,NA,2017-2
Wegzug,2017,2,Ausländer,M,1,Schweiz,Schweiz,BS,Riehen,Europa (ohne Schweiz),Deutschland,Ausland,NA,2017-2
Wegzug,2017,2,Ausländer,W,1,Schweiz,Schweiz,BS,Matthäus,Asien,Indien,Ausland,NA,2017-2
Wegzug,2017,2,Ausländer,M,1,Schweiz,Schweiz,BS,Bachletten,Schweiz,Schweiz,BL,NA,2017-2
